"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
lci_b1,life_chart_interview_b_birth_to_start_of_elementar,"Section B: Birth to Start of Elementary School",text,"B1. What was the approximate date you started elementary school?

Date:

<i>(if they can only say their age, help them to calculate what year that would have been and then ask for month)
(combining this answer with their birthdate gives the start and end date of this first time period)
*If the subject did not attend elementary school, this period would pertain to ages 0-5.</i>",,,date_ymd,,,y,,y,,,,,
lci_b2,life_chart_interview_b_birth_to_start_of_elementar,,dropdown,"The next several questions will cover the period from birth until the time you started elementary school ""in (insert year)"" or ""at age (insert age)"" (repeat year or age indicated above)

B2. How would you rate your general mood during this period of your life? While we recognize your mood was not the same throughout, we would like a rating of how your mood was <i>on average</i>. As a reminder, this is on a scale of 1-10, with 1 being the worst and 10 being the best mood you have experienced.

Average Mood Rating:","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10",,,,,,,y,,,,,
lci_b3_count,life_chart_interview_b_birth_to_start_of_elementar,,dropdown,"B3#. During this time period, where did you live (for example, city, state, country if not U.S.)?

Count:","0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9",,,,,,,y,,,,,
lci_b3i_1,life_chart_interview_b_birth_to_start_of_elementar,,text,"Location #1
Start date:

<i>(Follow up questions: Did you live in that location during the entire period of childhood up until elementary school? If not: Where else did you live and when did you move? Use additional prompts as needed to obtain the approximate dates in which they lived in each location.)

*If the subject lived in multiple places during this time (e.g., moved during this period), allow to add lines as needed)</i>",,,date_ymd,,,y,"[lci_b3_count] >= 1",y,,,,,
lci_b3ii_1,life_chart_interview_b_birth_to_start_of_elementar,,text,"Location #1
End Date:",,,date_ymd,,,y,"[lci_b3_count] >= 1",y,,,,,
lci_b3iii_1,life_chart_interview_b_birth_to_start_of_elementar,,text,"Location #1
City:",,,,,,,"[lci_b3_count] >= 1",,,,,,
lci_b3iv_1,life_chart_interview_b_birth_to_start_of_elementar,,text,"Location #1
State:",,,,,,,"[lci_b3_count] >= 1",,,,,,
lci_b3v_1,life_chart_interview_b_birth_to_start_of_elementar,,text,"Location #1
Country:",,,,,,,"[lci_b3_count] >= 1",,,,,,
lci_b3i_2,life_chart_interview_b_birth_to_start_of_elementar,,text,"Location #2
Start date:

<i>(Follow up questions: Did you live in that location during the entire period of childhood up until elementary school? If not: Where else did you live and when did you move? Use additional prompts as needed to obtain the approximate dates in which they lived in each location.)

*If the subject lived in multiple places during this time (e.g., moved during this period), allow to add lines as needed)</i>",,,date_ymd,,,y,"[lci_b3_count] >= 2",y,,,,,
lci_b3ii_2,life_chart_interview_b_birth_to_start_of_elementar,,text,"Location #2
End Date:",,,date_ymd,,,y,"[lci_b3_count] >= 2",y,,,,,
lci_b3iii_2,life_chart_interview_b_birth_to_start_of_elementar,,text,"Location #2
City:",,,,,,,"[lci_b3_count] >= 2",,,,,,
lci_b3iv_2,life_chart_interview_b_birth_to_start_of_elementar,,text,"Location #2
State:",,,,,,,"[lci_b3_count] >= 2",,,,,,
lci_b3v_2,life_chart_interview_b_birth_to_start_of_elementar,,text,"Location #2
Country:",,,,,,,"[lci_b3_count] >= 2",,,,,,
lci_b3i_3,life_chart_interview_b_birth_to_start_of_elementar,,text,"Location #3
Start date:

<i>(Follow up questions: Did you live in that location during the entire period of childhood up until elementary school? If not: Where else did you live and when did you move? Use additional prompts as needed to obtain the approximate dates in which they lived in each location.)

*If the subject lived in multiple places during this time (e.g., moved during this period), allow to add lines as needed)</i>",,,date_ymd,,,y,"[lci_b3_count] >= 3",y,,,,,
lci_b3ii_3,life_chart_interview_b_birth_to_start_of_elementar,,text,"Location #3
End Date:",,,date_ymd,,,y,"[lci_b3_count] >= 3",y,,,,,
lci_b3iii_3,life_chart_interview_b_birth_to_start_of_elementar,,text,"Location #3
City:",,,,,,,"[lci_b3_count] >= 3",,,,,,
lci_b3iv_3,life_chart_interview_b_birth_to_start_of_elementar,,text,"Location #3
State:",,,,,,,"[lci_b3_count] >= 3",,,,,,
lci_b3v_3,life_chart_interview_b_birth_to_start_of_elementar,,text,"Location #3
Country:",,,,,,,"[lci_b3_count] >= 3",,,,,,
lci_b3i_4,life_chart_interview_b_birth_to_start_of_elementar,,text,"Location #4
Start date:

<i>(Follow up questions: Did you live in that location during the entire period of childhood up until elementary school? If not: Where else did you live and when did you move? Use additional prompts as needed to obtain the approximate dates in which they lived in each location.)

*If the subject lived in multiple places during this time (e.g., moved during this period), allow to add lines as needed)</i>",,,date_ymd,,,y,"[lci_b3_count] >= 4",y,,,,,
lci_b3ii_4,life_chart_interview_b_birth_to_start_of_elementar,,text,"Location #4
End Date:",,,date_ymd,,,y,"[lci_b3_count] >= 4",y,,,,,
lci_b3iii_4,life_chart_interview_b_birth_to_start_of_elementar,,text,"Location #4
City:",,,,,,,"[lci_b3_count] >= 4",,,,,,
lci_b3iv_4,life_chart_interview_b_birth_to_start_of_elementar,,text,"Location #4
State:",,,,,,,"[lci_b3_count] >= 4",,,,,,
