period,group,mean_anxiety,sem_low_anxiety,sem_high_anxiety,mean_comorbid,sem_low_comorbid,sem_high_anxiety,mean_depression,sem_low_depression,sem_high_depression,mean_eating,sem_low_eating,sem_high_eating,mean_hc,sem_low_hc,sem_high_hc,mean_substance,sem_low_substance,sem_high_substance,,,,,,,,,,
1,Anxiety,0.315789474,0.182179419,0.449399528,,,,,,,,,,,,,,,,,,,,,,,,,
2,Anxiety,0.315789474,0.182179419,0.449399528,,,,,,,,,,,,,,,,,,,,,,,,,
3,Anxiety,0.631578947,0.399495499,0.863662396,,,,,,,,,,,,,,,,,,,,,,,,,
4,Anxiety,1.842105263,1.29457942,2.389631106,,,,,,,,,,,,,,,,,,,,,,,,,
5,Anxiety,1.526315789,1.148816933,1.903814645,,,,,,,,,,,,,,,,,,,,,,,,,
6,Anxiety,1.117647059,0.834773764,1.400520354,,,,,,,,,,,,,,,,,,,,,,,,,
7,Anxiety,0.818181818,0.591820007,1.044543629,,,,,,,,,,,,,,,,,,,,,,,,,
8,Anxiety,0.5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
1,Comorbid Depression + Anxiety,,,,0.157575758,0.125464169,0.189687346,,,,,,,,,,,,,,,,,,,,,,
2,Comorbid Depression + Anxiety,,,,0.181818182,0.146088302,0.217548062,,,,,,,,,,,,,,,,,,,,,,
3,Comorbid Depression + Anxiety,,,,0.442424242,0.37453912,0.510309365,,,,,,,,,,,,,,,,,,,,,,
4,Comorbid Depression + Anxiety,,,,1.303030303,1.204472993,1.401587613,,,,,,,,,,,,,,,,,,,,,,
5,Comorbid Depression + Anxiety,,,,1.548780488,1.435901576,1.6616594,,,,,,,,,,,,,,,,,,,,,,
6,Comorbid Depression + Anxiety,,,,1.191666667,1.093864608,1.289468726,,,,,,,,,,,,,,,,,,,,,,
7,Comorbid Depression + Anxiety,,,,0.848101266,0.72579437,0.970408162,,,,,,,,,,,,,,,,,,,,,,
8,Comorbid Depression + Anxiety,,,,0.581395349,0.480279985,0.682510713,,,,,,,,,,,,,,,,,,,,,,
1,Depression,,,,,,,0.133333333,0.085560095,0.181106571,,,,,,,,,,,,,,,,,,,
2,Depression,,,,,,,0.146666667,0.097554428,0.195778906,,,,,,,,,,,,,,,,,,,
3,Depression,,,,,,,0.586666667,0.467975101,0.705358232,,,,,,,,,,,,,,,,,,,
4,Depression,,,,,,,1.373333333,1.208088952,1.538577715,,,,,,,,,,,,,,,,,,,
5,Depression,,,,,,,1.666666667,1.500812793,1.832520541,,,,,,,,,,,,,,,,,,,
6,Depression,,,,,,,1.116666667,0.977883279,1.255450054,,,,,,,,,,,,,,,,,,,
7,Depression,,,,,,,0.697674419,0.58966267,0.805686167,,,,,,,,,,,,,,,,,,,
8,Depression,,,,,,,0.692307692,0.537694221,0.846921163,,,,,,,,,,,,,,,,,,,
1,Eating +,,,,,,,,,,0.052631579,0,0.105263158,,,,,,,,,,,,,,,,
2,Eating +,,,,,,,,,,0.157894737,0.071947728,0.243841745,,,,,,,,,,,,,,,,
3,Eating +,,,,,,,,,,0.473684211,0.239619929,0.707748492,,,,,,,,,,,,,,,,
4,Eating +,,,,,,,,,,1.421052632,1.051797102,1.790308161,,,,,,,,,,,,,,,,
5,Eating +,,,,,,,,,,1.631578947,1.343303917,1.919853978,,,,,,,,,,,,,,,,
6,Eating +,,,,,,,,,,1.875,1.434322761,2.315677239,,,,,,,,,,,,,,,,
1,Healthy Control ,,,,,,,,,,,,,0.084745763,0.048176528,0.121314998,,,,,,,,,,,,,
2,Healthy Control ,,,,,,,,,,,,,0.118644068,0.069783612,0.167504523,,,,,,,,,,,,,
3,Healthy Control ,,,,,,,,,,,,,0.186440678,0.124925729,0.247955627,,,,,,,,,,,,,
4,Healthy Control ,,,,,,,,,,,,,1.050847458,0.861376311,1.240318604,,,,,,,,,,,,,
5,Healthy Control ,,,,,,,,,,,,,1.084745763,0.953911691,1.215579835,,,,,,,,,,,,,
6,Healthy Control ,,,,,,,,,,,,,0.763157895,0.619866914,0.906448875,,,,,,,,,,,,,
7,Healthy Control ,,,,,,,,,,,,,0.578947368,0.420080962,0.737813774,,,,,,,,,,,,,
8,Healthy Control ,,,,,,,,,,,,,0.333333333,0.191199522,0.475467144,,,,,,,,,,,,,
1,Substance +,,,,,,,,,,,,,,,,0.3081761,0.26360838,0.35274382,,,,,,,,,,
2,Substance +,,,,,,,,,,,,,,,,0.31446541,0.26009041,0.36884041,,,,,,,,,,
3,Substance +,,,,,,,,,,,,,,,,1.42767296,1.31394691,1.54139901,,,,,,,,,,
4,Substance +,,,,,,,,,,,,,,,,2.81132075,2.67218372,2.95045778,,,,,,,,,,
5,Substance +,,,,,,,,,,,,,,,,3.43396226,3.27322588,3.59469864,,,,,,,,,,
6,Substance +,,,,,,,,,,,,,,,,2.93333333,2.76668325,3.09998341,,,,,,,,,,
7,Substance +,,,,,,,,,,,,,,,,2.1,1.88647431,2.31352569,,,,,,,,,,
8,Substance +,,,,,,,,,,,,,,,,2.2173913,1.83519605,2.59958655,,,,,,,,,,
