period,group,mean_anxiety,sem_low_anxiety,sem_high_anxiety,mean_comorbid,sem_low_comorbid,sem_high_anxiety,mean_depression,sem_low_depression,sem_high_depression,mean_eating,sem_low_eating,sem_high_eating,mean_hc,sem_low_hc,sem_high_hc,mean_substance,sem_low_substance,sem_high_substance

1,Anxiety,0.210526316,-0.049691175,0.470743807,,,,,,,,,,,,,,,
2,Anxiety,-0.368421053,-0.624465255,-0.112376851,,,,,,,,,,,,,,,
3,Anxiety,0.263157895,-0.050676207,0.576991997,,,,,,,,,,,,,,,
4,Anxiety,0.315789474,-0.185977181,0.817556128,,,,,,,,,,,,,,,
5,Anxiety,-0.315789474,-0.631578947,0,,,,,,,,,,,,,,,
6,Anxiety,0.529411765,0.058823529,1,,,,,,,,,,,,,,,
7,Anxiety,-0.636363636,-1.437189656,0.164462383,,,,,,,,,,,,,,,
8,Anxiety,-1,-1,-1,,,,,,,,,,,,,,,
1,Comorbid Depression + Anxiety,,,,0,-0.096635738,0.096635738,,,,,,,,,,,,
2,Comorbid Depression + Anxiety,,,,-0.410714286,-0.534032848,-0.287395724,,,,,,,,,,,,
3,Comorbid Depression + Anxiety,,,,-0.577380952,-0.687626364,-0.467135541,,,,,,,,,,,,
4,Comorbid Depression + Anxiety,,,,-0.452380952,-0.594618942,-0.310142963,,,,,,,,,,,,
5,Comorbid Depression + Anxiety,,,,-0.311377246,-0.44484211,-0.177912381,,,,,,,,,,,,
6,Comorbid Depression + Anxiety,,,,-0.276422764,-0.42752199,-0.125323539,,,,,,,,,,,,
7,Comorbid Depression + Anxiety,,,,-0.839506173,-1.049191998,-0.629820348,,,,,,,,,,,,
8,Comorbid Depression + Anxiety,,,,-0.720930233,-0.926946019,-0.514914446,,,,,,,,,,,,
1,Depression,,,,,,,0.106666667,-0.018641362,0.231974696,,,,,,,,,
2,Depression,,,,,,,0.093333333,-0.073430602,0.260097269,,,,,,,,,
3,Depression,,,,,,,-0.213333333,-0.358269894,-0.068396773,,,,,,,,,
4,Depression,,,,,,,0.133333333,-0.085041774,0.351708441,,,,,,,,,
5,Depression,,,,,,,0.066666667,-0.148382738,0.281716071,,,,,,,,,
6,Depression,,,,,,,-0.183333333,-0.401817669,0.035151002,,,,,,,,,
7,Depression,,,,,,,-0.697674419,-0.952277412,-0.443071426,,,,,,,,,
8,Depression,,,,,,,-0.615384615,-0.9439101,-0.286859131,,,,,,,,,
1,Eating +,,,,,,,,,,1.263157895,1.011356139,1.514959651,,,,,,
2,Eating +,,,,,,,,,,0.421052632,0,0.842105263,,,,,,
3,Eating +,,,,,,,,,,-1.263157895,-1.7695042,-0.75681159,,,,,,
4,Eating +,,,,,,,,,,-1.421052632,-1.875502942,-0.966602321,,,,,,
5,Eating +,,,,,,,,,,-0.157894737,-0.612006284,0.296216811,,,,,,
6,Eating +,,,,,,,,,,0,-0.5,0.5,,,,,,
1,Healthy Control ,,,,,,,,,,,,,0.423728814,0.293084164,0.554373463,,,
2,Healthy Control ,,,,,,,,,,,,,0.508474576,0.302808375,0.714140778,,,
3,Healthy Control ,,,,,,,,,,,,,0.474576271,0.261947609,0.687204934,,,
4,Healthy Control ,,,,,,,,,,,,,0.745762712,0.51821355,0.973311873,,,
5,Healthy Control ,,,,,,,,,,,,,0.491525424,0.273445924,0.709604924,,,
6,Healthy Control ,,,,,,,,,,,,,0.763157895,0.526315789,1,,,
7,Healthy Control ,,,,,,,,,,,,,0.947368421,0.646553891,1.248182951,,,
8,Healthy Control ,,,,,,,,,,,,,0.25,-0.17861652,0.67861652,,,
1,Substance +,,,,,,,,,,,,,,,,-0.006289308,-0.097061217,0.084482601
2,Substance +,,,,,,,,,,,,,,,,-0.182389937,-0.309783928,-0.054995946
3,Substance +,,,,,,,,,,,,,,,,-0.477987421,-0.600923039,-0.355051804
4,Substance +,,,,,,,,,,,,,,,,-0.421383648,-0.582331711,-0.260435585
5,Substance +,,,,,,,,,,,,,,,,-1.427672956,-1.604208069,-1.251137843
6,Substance +,,,,,,,,,,,,,,,,-1.57037037,-1.761824248,-1.378916493
7,Substance +,,,,,,,,,,,,,,,,-1.05,-1.344416017,-0.755583983
8,Substance +,,,,,,,,,,,,,,,,-1,-1.35564338,-0.64435662







