period,group,mean_anxiety,sem_low_anxiety,sem_high_anxiety,mean_comorbid,sem_low_comorbid,sem_high_anxiety,mean_depression,sem_low_depression,sem_high_depression,mean_eating,sem_low_eating,sem_high_eating,mean_hc,sem_low_hc,sem_high_hc,mean_substance,sem_low_substance,sem_high_substance
1,Anxiety,2.157894737,1.822260939,2.493528535,,,,,,,,,,,,,,,
2,Anxiety,2.842105263,2.515299368,3.168911158,,,,,,,,,,,,,,,
3,Anxiety,3.421052632,2.90061765,3.941487613,,,,,,,,,,,,,,,
4,Anxiety,3.105263158,2.666666667,3.543859649,,,,,,,,,,,,,,,
5,Anxiety,2.473684211,2.183812076,2.763556345,,,,,,,,,,,,,,,
6,Anxiety,2.647058824,2.218817065,3.075300582,,,,,,,,,,,,,,,
7,Anxiety,2.272727273,1.731837281,2.813617265,,,,,,,,,,,,,,,
8,Anxiety,0.5,0,1,,,,,,,,,,,,,,,
1,Comorbid Depression + Anxiety,,,,1.863095238,1.776609829,1.949580647,,,,,,,,,,,,
2,Comorbid Depression + Anxiety,,,,2.642857143,2.541088595,2.744625691,,,,,,,,,,,,
3,Comorbid Depression + Anxiety,,,,2.5 95238095,2.491063027,2.699413163,,,,,,,,,,,,
4,Comorbid Depression + Anxiety,,,,2.511904762,2.398004792,2.625804732,,,,,,,,,,,,
5,Comorbid Depression + Anxiety,,,,2.191616766,2.072118099,2.311115434,,,,,,,,,,,,
6,Comorbid Depression + Anxiety,,,,1.861788618,1.729994286,1.99358295,,,,,,,,,,,,
7,Comorbid Depression + Anxiety,,,,1.75308642,1.583181886,1.922990954,,,,,,,,,,,,
8,Comorbid Depression + Anxiety,,,,1.581395349,1.352689717,1.81010098,,,,,,,,,,,,
1,Depression,,,,,,,1.786666667,1.645508863,1.92782447,,,,,,,,,
2,Depression,,,,,,,2.56,2.395338184,2.724661816,,,,,,,,,
3,Depression,,,,,,,2.346666667,2.181727876,2.511605458,,,,,,,,,
4,Depression,,,,,,,2.306666667,2.119729925,2.493603408,,,,,,,,,
5,Depression,,,,,,,2.013333333,1.826859817,2.19980685,,,,,,,,,
6,Depression,,,,,,,1.8,1.56857113,2.03142887,,,,,,,,,
7,Depression,,,,,,,1.744186047,1.48407911,2.004292983,,,,,,,,,
8,Depression,,,,,,,1.692307692,1.384615385,2,,,,,,,,,
1,Eating +,,,,,,,,,,2.368421053,2.136337604,,,,,,
2,Eating +,,,,,,,,,,3.052631579,2.76169958,,,,,,
3,Eating +,,,,,,,,,,3.210526316,2.961799178,,,,,,
4,Eating +,,,,,,,,,,3.421052632,3.043961662,,,,,,
5,Eating +,,,,,,,,,,3.368421053,3.033246085,,,,,,
6,Eating +,,,,,,,,,,3.5,3.077422873,,,,,,
1,Healthy Control ,,,,,,,,,,,,,2.118644068,1.954527059,2.282761077,,,
2,Healthy Control ,,,,,,,,,,,,,3.169491525,2.95440786,3.384575191,,,
3,Healthy Control ,,,,,,,,,,,,,2.779661017,2.586154815,2.973167219,,,
4,Healthy Control ,,,,,,,,,,,,,2.745762712,2.531440325,2.960085099,,,
5,Healthy Control ,,,,,,,,,,,,,2.711864407,2.477411106,2.946317708,,,
6,Healthy Control ,,,,,,,,,,,,,2.368421053,2.080146022,2.656696083,,,
7,Healthy Control ,,,,,,,,,,,,,2.315789474,1.933027645,2.698551302,,,
8,Healthy Control ,,,,,,,,,,,,,2.166666667,1.63248174,2.700851593,,,
1,Substance +,,,,,,,,,,,,,,,,1.679245283,1.565567677,1.792922889
2,Substance +,,,,,,,,,,,,,,,,2.433962264,2.316087504,2.551837025
3,Substance +,,,,,,,,,,,,,,,,2.433962264,2.31048006,2.557444468
4,Substance +,,,,,,,,,,,,,,,,2.213836478,2.075216814,2.352456142
5,Substance +,,,,,,,,,,,,,,,,1.767295597,1.646529603,1.888061592
6,Substance +,,,,,,,,,,,,,,,,1.6,1.447193203,1.752806797
7,Substance +,,,,,,,,,,,,,,,,1.233333333,1.041160702,1.425505964
8,Substance +,,,,,,,,,,,,,,,,0.869565217,0.60058715,1.138543285
