period,group,mean_anxiety,sem_low_anxiety,sem_high_anxiety,mean_comorbid,sem_low_comorbid,sem_high_anxiety,mean_depression,sem_low_depression,sem_high_depression,mean_eating,sem_low_eating,sem_high_eating,mean_hc,sem_low_hc,sem_high_hc,mean_substance,sem_low_substance,sem_high_substance
1,Anxiety,0,0,0,,,,,,,,,,,,,,,
2,Anxiety,0.105263158,0.032927971,0.177598344,,,,,,,,,,,,,,,
3,Anxiety,0.210526316,0.114434639,0.306617993,,,,,,,,,,,,,,,
4,Anxiety,0.578947368,0.372108314,0.785786423,,,,,,,,,,,,,,,
5,Anxiety,0.473684211,0.204741935,0.742626486,,,,,,,,,,,,,,,
6,Anxiety,0.235294118,0.098917375,0.37167086,,,,,,,,,,,,,,,
7,Anxiety,1.090909091,0.748337388,1.433480794,,,,,,,,,,,,,,,
8,Anxiety,1,0,2,,,,,,,,,,,,,,,
1,Comorbid Depression + Anxiety,,,,0.05952381,0.039361966,0.079685653,,,,,,,,,,,,
2,Comorbid Depression + Anxiety,,,,0.214285714,0.179327944,0.249243485,,,,,,,,,,,,
3,Comorbid Depression + Anxiety,,,,0.31547619,0.266143691,0.36480869,,,,,,,,,,,,
4,Comorbid Depression + Anxiety,,,,0.470238095,0.401684671,0.538791519,,,,,,,,,,,,
5,Comorbid Depression + Anxiety,,,,0.826347305,0.733309206,0.919385405,,,,,,,,,,,,
6,Comorbid Depression + Anxiety,,,,1.032520325,0.917110908,1.147929742,,,,,,,,,,,,
7,Comorbid Depression + Anxiety,,,,1.086419753,0.936113963,1.236725543,,,,,,,,,,,,
8,Comorbid Depression + Anxiety,,,,0.906976744,0.741207443,1.072746045,,,,,,,,,,,,
1,Depression,,,,,,,0.013333333,0,0.026666667,,,,,,,,,
2,Depression,,,,,,,0.213333333,0.158665348,0.268001318,,,,,,,,,
3,Depression,,,,,,,0.2,0.146307516,0.253692484,,,,,,,,,
4,Depression,,,,,,,0.466666667,0.376955753,0.55637758,,,,,,,,,
5,Depression,,,,,,,0.573333333,0.462361649,0.684305018,,,,,,,,,
6,Depression,,,,,,,0.866666667,0.713606236,1.019727097,,,,,,,,,
7,Depression,,,,,,,0.790697674,0.655284196,0.926111153,,,,,,,,,
8,Depression,,,,,,,0.846153846,0.633534231,1.058773461,,,,,,,,,
1,Eating +,,,,,,,,,,0.052631579,0,0.105263158,,,,,,
2,Eating +,,,,,,,,,,0.105263158,0.032927971,0.177598344,,,,,,
3,Eating +,,,,,,,,,,0.368421053,0.211504002,0.525338104,,,,,,
4,Eating +,,,,,,,,,,1.263157895,0.914039496,1.612276294,,,,,,
5,Eating +,,,,,,,,,,3.052631579,2.572173195,3.533089963,,,,,,
6,Eating +,,,,,,,,,,2.75,1.719223594,3.780776406,,,,,,
1,Healthy Control ,,,,,,,,,,,,,0.016949153,0,0.033898305,,,
2,Healthy Control ,,,,,,,,,,,,,0.06779661,0.026880688,0.108712532,,,
3,Healthy Control ,,,,,,,,,,,,,0.033898305,0.010136118,0.057660493,,,
4,Healthy Control ,,,,,,,,,,,,,0.050847458,0.022001256,0.079693659,,,
5,Healthy Control ,,,,,,,,,,,,,0.118644068,0.076183609,0.161104527,,,
6,Healthy Control ,,,,,,,,,,,,,0.210526316,0.133620518,0.287432114,,,
7,Healthy Control ,,,,,,,,,,,,,0.263157895,0.113263092,0.413052697,,,
8,Healthy Control ,,,,,,,,,,,,,0.333333333,0.145307975,0.521358692,,,
1,Substance +,,,,,,,,,,,,,,,,0.044025157,0.027704218,0.060346096
2,Substance +,,,,,,,,,,,,,,,,0.13836478,0.10684667,0.16988289
3,Substance +,,,,,,,,,,,,,,,,0.119496855,0.090771333,0.148222378
4,Substance +,,,,,,,,,,,,,,,,0.213836478,0.16077573,0.266897226
5,Substance +,,,,,,,,,,,,,,,,0.591194969,0.510292765,0.672097172
6,Substance +,,,,,,,,,,,,,,,,1.088888889,0.996343849,1.181433929
7,Substance +,,,,,,,,,,,,,,,,0.85,0.752503078,0.947496922
8,Substance +,,,,,,,,,,,,,,,,1.260869565,0.971278117,1.550461013
