period,group,mean_anxiety,sem_low_anxiety,sem_high_anxiety,mean_comorbid,sem_low_comorbid,sem_high_anxiety,mean_depression,sem_low_depression,sem_high_depression,mean_eating,sem_low_eating,sem_high_eating,mean_hc,sem_low_hc,sem_high_hc,mean_substance,sem_low_substance,sem_high_substance
1,Anxiety,7.631578947,7.190882222,8.072275673,,,,,,,,,,,,,,,
2,Anxiety,6.947368421,6.636985859,7.257750983,,,,,,,,,,,,,,,
3,Anxiety,6.421052632,6.043961662,6.798143601,,,,,,,,,,,,,,,
4,Anxiety,6.842105263,6.450205124,7.234005402,,,,,,,,,,,,,,,
5,Anxiety,6.263157895,5.780462579,6.74585321,,,,,,,,,,,,,,,
6,Anxiety,6.4375,6.072708393,6.802291607,,,,,,,,,,,,,,,
7,Anxiety,5.555555556,4.771848001,6.33926311,,,,,,,,,,,,,,,
8,Anxiety,8,7,9,,,,,,,,,,,,,,,
1,Comorbid Depression + Anxiety,,,,7.5,7.346256737,7.653743263,,,,,,,,,,,,
2,Comorbid Depression + Anxiety,,,,6.260606061,6.105644518,6.415567604,,,,,,,,,,,,
3,Comorbid Depression + Anxiety,,,,5.304878049,5.140676051,5.469080046,,,,,,,,,,,,
4,Comorbid Depression + Anxiety,,,,5.524691358,5.353272873,5.696109843,,,,,,,,,,,,
5,Comorbid Depression + Anxiety,,,,6.099378882,5.940969433,6.257788331,,,,,,,,,,,,
6,Comorbid Depression + Anxiety,,,,5.754385965,5.588819934,5.919951995,,,,,,,,,,,,
7,Comorbid Depression + Anxiety,,,,5.281690141,5.076934706,5.486445576,,,,,,,,,,,,
8,Comorbid Depression + Anxiety,,,,5.162162162,4.775613731,5.548710594,,,,,,,,,,,,
1,Depression,,,,,,,7.891891892,7.674567814,8.10921597,,,,,,,,,
2,Depression,,,,,,,6.824324324,6.609751479,7.03889717,,,,,,,,,
3,Depression,,,,,,,5.808219178,5.567993563,6.048444794,,,,,,,,,
4,Depression,,,,,,,6.28,6.042475227,6.517524773,,,,,,,,,
5,Depression,,,,,,,5.671232877,5.428331532,5.914134222,,,,,,,,,
6,Depression,,,,,,,6,5.785281822,6.214718178,,,,,,,,,
7,Depression,,,,,,,5.184210526,4.885195398,5.483225655,,,,,,,,,
8,Depression,,,,,,,5.48,5.047487958,5.912512042,,,,,,,,,
1,Eating +,,,,,,,,,,8.263157895,8.049007796,8.477307993,,,,,,
2,Eating +,,,,,,,,,,6.631578947,6.190882222,7.072275673,,,,,,
3,Eating +,,,,,,,,,,5.578947368,5.157894737,6,,,,,,
4,Eating +,,,,,,,,,,5.157894737,4.716848944,5.598940529,,,,,,
5,Eating +,,,,,,,,,,5.722222222,5.288319462,6.156124982,,,,,,
6,Eating +,,,,,,,,,,6,5.373216829,6.626783171,,,,,,
1,Healthy Control ,,,,,,,,,,,,,7.779661017,7.552787627,8.006534407,,,
2,Healthy Control ,,,,,,,,,,,,,7.406779661,7.200056537,7.613502785,,,
3,Healthy Control ,,,,,,,,,,,,,6.793103448,6.58186646,7.004340436,,,
4,Healthy Control ,,,,,,,,,,,,,7.155172414,6.928673609,7.381671218,,,
5,Healthy Control ,,,,,,,,,,,,,7.542372881,7.362558649,7.722187114,,,
6,Healthy Control ,,,,,,,,,,,,,7.4,7.149957987,7.650042013,,,
7,Healthy Control ,,,,,,,,,,,,,7.111111111,6.613476911,7.608745311,,,
8,Healthy Control ,,,,,,,,,,,,,6.9,6.295388095,7.504611905,,,
1,Substance +,,,,,,,,,,,,,,,,7.20212766,6.955169599,7.44908572
2,Substance +,,,,,,,,,,,,,,,,7.20212766,6.962941795,7.441313525
3,Substance +,,,,,,,,,,,,,,,,7.20212766,6.983266879,7.42098844
4,Substance +,,,,,,,,,,,,,,,,7.20212766,6.9886434,7.415611919
5,Substance +,,,,,,,,,,,,,,,,7.20212766,6.948712583,7.455542736
6,Substance +,,,,,,,,,,,,,,,,7.20212766,6.945921227,7.458334092
7,Substance +,,,,,,,,,,,,,,,,7.20212766,6.801146001,7.603109318
8,Substance +,,,,,,,,,,,,,,,,7.20212766,6.597458328,7.806796991
