period,group,mean_anxiety,sem_low_anxiety,sem_high_anxiety,mean_comorbid,sem_low_comorbid,sem_high_anxiety,mean_depression,sem_low_depression,sem_high_depression,mean_eating,sem_low_eating,sem_high_eating,mean_hc,sem_low_hc,sem_high_hc,mean_substance,sem_low_substance,sem_high_substance
1,Anxiety,2.6666666666666665,2.352396986139312,2.980936347194021,,,,,,,,,,,,,,,
2,Anxiety,4.333333333333333,3.812176026686285,4.854490639980381,,,,,,,,,,,,,,,
3,Anxiety,3.7777777777777777,3.261911545289477,4.293644010266078,,,,,,,,,,,,,,,
4,Anxiety,4.111111111111111,3.579529626133062,4.64269259608916,,,,,,,,,,,,,,,
5,Anxiety,4.0,3.3714606389452912,4.628539361054709,,,,,,,,,,,,,,,
6,Anxiety,4.111111111111111,3.3666758799169707,4.855546342305251,,,,,,,,,,,,,,,
7,Anxiety,3.4285714285714284,2.7942746829420386,4.062868174200818,,,,,,,,,,,,,,,
8,Anxiety,1.0,0.29289321881345254,1.7071067811865475,,,,,,,,,,,,,,,
1,Comorbid Depression + Anxiety,,,,2.1333333333333333,2.0408089629965747,2.225857703670092,,,,,,,,,,,,
2,Comorbid Depression + Anxiety,,,,2.4146341463414633,2.3052504831681446,2.524017809514782,,,,,,,,,,,,
3,Comorbid Depression + Anxiety,,,,2.226993865030675,2.112448676521768,2.3415390535395817,,,,,,,,,,,,
4,Comorbid Depression + Anxiety,,,,2.6463414634146343,2.515636178942347,2.7770467478869216,,,,,,,,,,,,
5,Comorbid Depression + Anxiety,,,,2.8773006134969323,2.7382726772052832,3.0163285497885814,,,,,,,,,,,,
6,Comorbid Depression + Anxiety,,,,2.5350877192982457,2.3951872223180355,2.674988216278456,,,,,,,,,,,,
7,Comorbid Depression + Anxiety,,,,2.236111111111111,2.0555629749862487,2.4166592472359736,,,,,,,,,,,,
8,Comorbid Depression + Anxiety,,,,2.3783783783783785,2.083916838003083,2.672839918753674,,,,,,,,,,,,
1,Depression,,,,,,,2.2884615384615383,2.086151399434329,2.490771677488748,,,,,,,,,
2,Depression,,,,,,,2.673076923076923,2.452599439210371,2.893554406943475,,,,,,,,,
3,Depression,,,,,,,2.125,1.9092467169040837,2.3407532830959163,,,,,,,,,
4,Depression,,,,,,,2.826923076923077,2.6115364803556886,3.0423096734904655,,,,,,,,,
5,Depression,,,,,,,2.803921568627451,2.626322545032278,2.9815205922226236,,,,,,,,,
6,Depression,,,,,,,2.3783783783783785,2.1643647616978234,2.5923919950589336,,,,,,,,,
7,Depression,,,,,,,2.5357142857142856,2.214356583776473,2.8570719876520982,,,,,,,,,
8,Depression,,,,,,,2.5,2.114724124814439,2.885275875185561,,,,,,,,,
1,Eating +,,,,,,,,,,2.210526315789474,2.0056150469927214,2.4154375845862264,,,,,,
2,Eating +,,,,,,,,,,3.0526315789473686,2.811745814932857,3.2935173429618803,,,,,,
3,Eating +,,,,,,,,,,3.0,2.7022708289740853,3.2977291710259147,,,,,,
4,Eating +,,,,,,,,,,3.1052631578947367,2.733886018406244,3.4766402973832293,,,,,,
5,Eating +,,,,,,,,,,4.611111111111111,4.071684753198906,5.150537469023315,,,,,,
6,Eating +,,,,,,,,,,3.625,2.742222069260904,4.5077779307390955,,,,,,
7,Eating +,,,,,,,,,,1.0,1.0,1.0,,,,,,
8,Eating +,,,,,,,,,,0.0,0.0,0.0,,,,,,
1,Healthy Control ,,,,,,,,,,,,,2.5762711864406778,2.390288096467128,2.7622542764142275,,,
2,Healthy Control ,,,,,,,,,,,,,3.1379310344827585,2.903488497539354,3.372373571426163,,,
3,Healthy Control ,,,,,,,,,,,,,2.810344827586207,2.5494845288574273,3.0712051263149864,,,
4,Healthy Control ,,,,,,,,,,,,,3.1206896551724137,2.9052378220539365,3.336141488290891,,,
5,Healthy Control ,,,,,,,,,,,,,3.6779661016949152,3.4010762070261773,3.954855996363653,,,
6,Healthy Control ,,,,,,,,,,,,,3.264705882352941,2.939021020955272,3.59039074375061,,,
7,Healthy Control ,,,,,,,,,,,,,3.411764705882353,2.9556731142081265,3.867856297556579,,,
8,Healthy Control ,,,,,,,,,,,,,4.125,3.642898480608078,4.6071015193919225,,,
1,Substance +,,,,,,,,,,,,,,,,1.946808510638298,1.8421771639319697,2.051439857344626
2,Substance +,,,,,,,,,,,,,,,,2.2795698924731185,2.1604471971829007,2.3986925877633363
3,Substance +,,,,,,,,,,,,,,,,2.2580645161290325,2.1300188020569455,2.3861102302011195
4,Substance +,,,,,,,,,,,,,,,,2.1,1.9703756614836456,2.2296243385163548
5,Substance +,,,,,,,,,,,,,,,,1.5869565217391304,1.4459432982971363,1.7279697451811245
6,Substance +,,,,,,,,,,,,,,,,1.9295774647887325,1.7613587450931842,2.097796184484281
7,Substance +,,,,,,,,,,,,,,,,1.6666666666666667,1.4389566496453423,1.8943766836879912
8,Substance +,,,,,,,,,,,,,,,,1.0,0.7525641703473033,1.2474358296526968
